Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
＜畜肉類＞　ぶた　［大型種肉］　そともも　皮下脂肪なし　生,11.0,54.0,340.0,4.0,23.0,200.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［大型種肉］　そともも　赤肉　生,11.0,57.0,360.0,4.0,25.0,210.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身　生,11.0,22.0,130.0,1.0,7.0,64.0,1.0,0.0,0.0,0.0
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　生,11.0,56.0,430.0,3.0,27.0,230.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　焼き,11.0,92.0,690.0,6.0,45.0,380.0,2.0,4.0,0.0,0.0
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,11.0,140.0,440.0,17.0,33.0,260.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かた　脂身つき　生,11.0,53.0,320.0,4.0,20.0,180.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かた　皮下脂肪なし　生,11.0,57.0,350.0,5.0,22.0,190.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かた　赤肉　生,11.0,61.0,380.0,5.0,24.0,210.0,1.0,4.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かた　脂身　生,11.0,20.0,91.0,2.0,5.0,50.0,0.0,0.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身つき　生,11.0,55.0,310.0,4.0,20.0,180.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かたロース　皮下脂肪なし　生,11.0,57.0,330.0,4.0,21.0,180.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　かたロース　赤肉　生,11.0,63.0,360.0,4.0,23.0,200.0,1.0,4.0,0.1,0.0
＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身　生,11.0,22.0,110.0,2.0,6.0,59.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身つき　生,11.0,39.0,310.0,3.0,20.0,170.0,0.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　ロース　皮下脂肪なし　生,11.0,43.0,340.0,4.0,23.0,190.0,0.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　ロース　赤肉　生,11.0,47.0,380.0,4.0,26.0,210.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身　生,11.0,15.0,82.0,1.0,5.0,45.0,0.0,0.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　ばら　脂身つき　生,11.0,43.0,220.0,3.0,14.0,120.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　もも　脂身つき　生,11.0,48.0,330.0,4.0,22.0,190.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　もも　皮下脂肪なし　生,11.0,51.0,360.0,4.0,24.0,200.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　もも　赤肉　生,11.0,53.0,370.0,4.0,25.0,210.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　もも　脂身　生,11.0,18.0,110.0,1.0,6.0,58.0,1.0,0.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身つき　生,11.0,49.0,320.0,4.0,21.0,170.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　そともも　皮下脂肪なし　生,11.0,55.0,360.0,4.0,25.0,190.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　そともも　赤肉　生,11.0,57.0,380.0,4.0,26.0,200.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身　生,11.0,21.0,120.0,1.0,6.0,63.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［中型種肉］　ヒレ　赤肉　生,11.0,48.0,400.0,4.0,28.0,220.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ひき肉］　生,11.0,57.0,290.0,6.0,20.0,120.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［ひき肉］　焼き,11.0,80.0,440.0,7.0,29.0,170.0,2.0,4.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　舌　生,11.0,80.0,220.0,8.0,15.0,160.0,2.0,2.0,0.2,0.0
＜畜肉類＞　ぶた　［副生物］　心臓　生,11.0,80.0,270.0,5.0,17.0,170.0,4.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　肝臓　生,11.0,55.0,290.0,5.0,20.0,340.0,13.0,7.0,1.0,0.0
＜畜肉類＞　ぶた　［副生物］　じん臓　生,11.0,160.0,200.0,7.0,11.0,220.0,4.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　胃　ゆで,11.0,100.0,150.0,9.0,15.0,140.0,2.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　小腸　ゆで,11.0,13.0,14.0,21.0,13.0,130.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　大腸　ゆで,11.0,21.0,27.0,15.0,10.0,93.0,2.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　子宮　生,11.0,130.0,150.0,7.0,8.0,100.0,2.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　豚足　ゆで,11.0,110.0,50.0,12.0,5.0,32.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［副生物］　軟骨　ゆで,11.0,120.0,110.0,100.0,13.0,120.0,2.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　骨付きハム,11.0,970.0,200.0,6.0,19.0,210.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　ボンレスハム,11.0,1100.0,260.0,8.0,20.0,340.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,11.0,910.0,290.0,4.0,20.0,280.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　ロースハム　ゆで,11.0,730.0,220.0,4.0,21.0,250.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　ロースハム　焼き,11.0,1100.0,370.0,5.0,24.0,340.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　ロースハム　フライ,11.0,820.0,260.0,24.0,22.0,240.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　ショルダーハム,11.0,640.0,290.0,7.0,19.0,270.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　生ハム　促成,11.0,1100.0,470.0,6.0,27.0,200.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ハム類］　生ハム　長期熟成,11.0,2200.0,480.0,11.0,25.0,200.0,1.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［プレスハム類］　プレスハム,11.0,930.0,150.0,8.0,13.0,260.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［プレスハム類］　チョップドハム,11.0,1000.0,290.0,15.0,17.0,260.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン,11.0,800.0,210.0,6.0,18.0,230.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ベーコン類］　ロースベーコン,11.0,870.0,260.0,6.0,19.0,270.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［ベーコン類］　ショルダーベーコン,11.0,940.0,240.0,12.0,17.0,290.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ,11.0,740.0,180.0,6.0,12.0,200.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ゆで,11.0,700.0,170.0,5.0,12.0,200.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　焼き,11.0,810.0,200.0,6.0,13.0,220.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　フライ,11.0,730.0,180.0,9.0,13.0,210.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　セミドライソーセージ,11.0,1200.0,240.0,34.0,17.0,210.0,2.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　ドライソーセージ,11.0,1700.0,430.0,27.0,22.0,250.0,3.0,4.0,0.0,0.1
＜畜肉類＞　ぶた　［ソーセージ類］　フランクフルトソーセージ,11.0,740.0,200.0,12.0,13.0,170.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　ボロニアソーセージ,11.0,830.0,180.0,9.0,13.0,210.0,1.0,2.0,0.1,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　リオナソーセージ,11.0,910.0,200.0,13.0,16.0,240.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　レバーソーセージ,11.0,650.0,150.0,16.0,14.0,200.0,3.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　混合ソーセージ,11.0,850.0,110.0,17.0,13.0,190.0,1.0,1.0,0.1,0.0
＜畜肉類＞　ぶた　［ソーセージ類］　生ソーセージ,11.0,680.0,200.0,8.0,14.0,140.0,1.0,2.0,0.0,0.0
＜畜肉類＞　ぶた　［その他］　焼き豚,11.0,930.0,290.0,9.0,20.0,260.0,1.0,1.0,0.0,0.0
＜畜肉類＞　ぶた　［その他］　レバーペースト,11.0,880.0,160.0,27.0,15.0,260.0,8.0,3.0,0.0,0.0
＜畜肉類＞　ぶた　［その他］　スモークレバー,11.0,690.0,280.0,8.0,24.0,380.0,20.0,9.0,1.0,0.3
＜畜肉類＞　ぶた　［その他］　ゼラチン,11.0,260.0,8.0,16.0,3.0,7.0,1.0,0.0,0.0,0.0
＜畜肉類＞　めんよう　［マトン］　ロース　脂身つき　生,11.0,62.0,330.0,3.0,17.0,180.0,3.0,3.0,0.0,0.0
＜畜肉類＞　めんよう　［マトン］　ロース　脂身つき　焼き,11.0,69.0,370.0,4.0,20.0,220.0,4.0,4.0,0.0,0.0
＜畜肉類＞　めんよう　［マトン］　ロース　皮下脂肪なし　生,11.0,61.0,350.0,3.0,23.0,190.0,3.0,3.0,0.1,0.0
＜畜肉類＞　めんよう　［マトン］　もも　脂身つき　生,11.0,37.0,230.0,4.0,21.0,140.0,3.0,3.0,0.0,0.0
＜畜肉類＞　めんよう　［ラム］　かた　脂身つき　生,11.0,70.0,310.0,4.0,23.0,120.0,2.0,5.0,0.0,0.0
＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　生,11.0,72.0,250.0,10.0,17.0,140.0,1.0,3.0,0.0,0.0
＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　焼き,11.0,80.0,290.0,11.0,21.0,160.0,2.0,3.0,0.0,0.0
＜畜肉類＞　めんよう　［ラム］　ロース　皮下脂肪なし　生,11.0,77.0,330.0,7.0,23.0,190.0,2.0,3.0,0.0,0.0
＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　生,11.0,59.0,340.0,3.0,22.0,200.0,2.0,3.0,0.1,0.0
＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　焼き,11.0,64.0,370.0,4.0,24.0,220.0,3.0,5.0,0.0,0.0
＜畜肉類＞　めんよう　混合プレスハム,11.0,880.0,140.0,11.0,12.0,210.0,1.0,2.0,0.0,0.0
＜畜肉類＞　やぎ　肉　赤肉　生,11.0,45.0,310.0,7.0,25.0,170.0,4.0,5.0,0.0,0.0
＜鳥肉類＞　うずら　肉　皮つき　生,11.0,35.0,280.0,15.0,27.0,100.0,3.0,1.0,0.0,0.0
＜鳥肉類＞　がちょう　フォアグラ　ゆで,11.0,44.0,130.0,3.0,10.0,150.0,3.0,1.0,2.0,0.0
＜鳥肉類＞　かも　まがも　肉　皮なし　生,11.0,72.0,400.0,5.0,27.0,260.0,4.0,1.0,0.0,0.0
＜鳥肉類＞　かも　あいがも　肉　皮つき　生,11.0,62.0,220.0,5.0,16.0,130.0,2.0,1.0,0.0,0.0
＜鳥肉類＞　かも　あひる　肉　皮つき　生,11.0,67.0,250.0,5.0,17.0,160.0,2.0,2.0,0.2,0.0
＜鳥肉類＞　かも　あひる　肉　皮なし　生,11.0,84.0,360.0,5.0,26.0,230.0,2.0,2.0,0.0,0.0
＜鳥肉類＞　かも　あひる　皮　生,11.0,42.0,84.0,5.0,5.0,59.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　きじ　肉　皮なし　生,11.0,38.0,220.0,8.0,27.0,190.0,1.0,1.0,0.1,0.0
＜鳥肉類＞　しちめんちょう　肉　皮なし　生,11.0,37.0,190.0,8.0,29.0,140.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　すずめ　肉　骨・皮つき　生,11.0,80.0,160.0,1100.0,42.0,660.0,8.0,3.0,0.0,0.0
＜鳥肉類＞　にわとり　［親・主品目］　手羽　皮つき　生,11.0,44.0,120.0,16.0,14.0,100.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,11.0,31.0,190.0,4.0,20.0,120.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮なし　生,11.0,34.0,210.0,5.0,26.0,150.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［親・主品目］　もも　皮つき　生,11.0,42.0,160.0,8.0,16.0,110.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［親・主品目］　もも　皮なし　生,11.0,50.0,220.0,9.0,21.0,150.0,2.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［親・副品目］　ささみ　生,11.0,40.0,280.0,8.0,21.0,200.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　手羽　皮つき　生,11.0,79.0,220.0,14.0,17.0,150.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　手羽さき　皮つき　生,11.0,78.0,210.0,20.0,16.0,140.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　手羽もと　皮つき　生,11.0,80.0,230.0,10.0,19.0,150.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　生,11.0,42.0,340.0,4.0,27.0,200.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　焼き,11.0,65.0,510.0,6.0,40.0,300.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮なし　生,11.0,45.0,370.0,4.0,29.0,220.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮なし　焼き,11.0,73.0,570.0,7.0,47.0,340.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　生,11.0,62.0,290.0,5.0,21.0,170.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　ゆで,11.0,47.0,210.0,9.0,23.0,160.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　焼き,11.0,92.0,390.0,6.0,29.0,230.0,1.0,3.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　から揚げ,11.0,990.0,430.0,11.0,32.0,240.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　生,11.0,69.0,320.0,5.0,24.0,190.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　ゆで,11.0,56.0,260.0,10.0,25.0,190.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　焼き,11.0,81.0,380.0,7.0,29.0,220.0,1.0,3.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　から揚げ,11.0,1100.0,440.0,12.0,34.0,250.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　生,11.0,40.0,410.0,4.0,32.0,240.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ゆで,11.0,38.0,360.0,5.0,34.0,240.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　焼き,11.0,53.0,520.0,5.0,41.0,310.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ソテー,11.0,61.0,630.0,5.0,44.0,340.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　フライ,11.0,95.0,440.0,14.0,36.0,260.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　天ぷら,11.0,65.0,430.0,24.0,34.0,250.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［二次品目］　ひき肉　生,11.0,55.0,250.0,8.0,24.0,110.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［二次品目］　ひき肉　焼き,11.0,85.0,400.0,19.0,37.0,170.0,1.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［副品目］　心臓　生,11.0,85.0,240.0,5.0,15.0,170.0,5.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［副品目］　肝臓　生,11.0,85.0,330.0,5.0,19.0,300.0,9.0,3.0,0.0,0.0
＜鳥肉類＞　にわとり　［副品目］　すなぎも　生,11.0,55.0,230.0,7.0,14.0,140.0,3.0,3.0,0.1,0.0
＜鳥肉類＞　にわとり　［副品目］　皮　むね　生,11.0,23.0,140.0,3.0,8.0,63.0,0.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［副品目］　皮　もも　生,11.0,23.0,33.0,6.0,6.0,34.0,0.0,0.0,0.0,0.0
＜鳥肉類＞　にわとり　［副品目］　なんこつ（胸肉）　生,11.0,390.0,170.0,47.0,15.0,78.0,0.0,0.0,0.0,0.0
＜鳥肉類＞　にわとり　［その他］　焼き鳥缶詰,11.0,850.0,200.0,12.0,21.0,75.0,3.0,2.0,0.0,0.0
＜鳥肉類＞　にわとり　［その他］　チキンナゲット,11.0,630.0,260.0,48.0,24.0,220.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　にわとり　［その他］　つくね,11.0,720.0,260.0,33.0,25.0,170.0,1.0,1.0,0.0,0.0
＜鳥肉類＞　はと　肉　皮なし　生,11.0,88.0,380.0,3.0,28.0,260.0,4.0,1.0,0.0,0.0
＜鳥肉類＞　ほろほろちょう　肉　皮なし　生,11.0,67.0,350.0,6.0,27.0,230.0,1.0,1.0,0.1,0.0
＜その他＞　いなご　つくだ煮,11.0,1900.0,260.0,28.0,32.0,180.0,5.0,3.0,1.0,1.0
＜その他＞　かえる　肉　生,11.0,33.0,230.0,9.0,23.0,140.0,0.0,1.0,0.0,0.0
＜その他＞　すっぽん　肉　生,11.0,69.0,150.0,18.0,10.0,88.0,1.0,2.0,0.0,0.0
＜その他＞　はち　はちの子缶詰,11.0,680.0,110.0,11.0,24.0,110.0,3.0,2.0,0.0,1.0
あひる卵　ピータン,12.0,780.0,65.0,90.0,6.0,230.0,3.0,1.0,0.0,0.0
うこっけい卵　全卵　生,12.0,140.0,150.0,53.0,11.0,220.0,2.0,2.0,0.0,0.0
うずら卵　全卵　生,12.0,130.0,150.0,60.0,11.0,220.0,3.0,2.0,0.0,0.0
うずら卵　水煮缶詰,12.0,210.0,28.0,47.0,8.0,160.0,3.0,2.0,0.0,0.0
鶏卵　全卵　生,12.0,140.0,130.0,46.0,10.0,170.0,2.0,1.0,0.0,0.0
鶏卵　全卵　ゆで,12.0,140.0,130.0,47.0,11.0,170.0,2.0,1.0,0.0,0.0
鶏卵　全卵　ポーチドエッグ,12.0,110.0,100.0,55.0,11.0,200.0,2.0,2.0,0.0,0.0
鶏卵　全卵　目玉焼き,12.0,180.0,150.0,60.0,14.0,230.0,2.0,1.0,0.0,0.0
鶏卵　全卵　いり,12.0,160.0,140.0,58.0,13.0,200.0,2.0,1.0,0.0,0.0
鶏卵　全卵　素揚げ,12.0,180.0,160.0,58.0,13.0,220.0,2.0,1.0,0.0,0.0
鶏卵　全卵　水煮缶詰,12.0,310.0,25.0,40.0,8.0,150.0,2.0,1.0,0.0,0.0
鶏卵　全卵　加糖全卵,12.0,100.0,95.0,44.0,10.0,160.0,2.0,1.0,0.0,0.0
鶏卵　全卵　乾燥全卵,12.0,490.0,560.0,210.0,35.0,700.0,3.0,2.0,0.0,0.0
鶏卵　卵黄　生,12.0,53.0,100.0,140.0,11.0,540.0,5.0,4.0,0.0,0.0
鶏卵　卵黄　ゆで,12.0,58.0,87.0,140.0,12.0,530.0,5.0,3.0,0.0,0.0
鶏卵　卵黄　加糖卵黄,12.0,38.0,80.0,110.0,12.0,400.0,2.0,1.0,0.0,0.0
鶏卵　卵黄　乾燥卵黄,12.0,80.0,190.0,280.0,29.0,1000.0,4.0,3.0,0.0,0.0
鶏卵　卵白　生,12.0,180.0,140.0,5.0,10.0,11.0,0.0,0.0,0.0,0.0
鶏卵　卵白　ゆで,12.0,170.0,140.0,6.0,11.0,12.0,0.0,0.0,0.0,0.0
鶏卵　卵白　乾燥卵白,12.0,1300.0,1300.0,60.0,48.0,110.0,0.0,0.0,0.0,0.0
鶏卵　たまご豆腐,12.0,390.0,99.0,26.0,8.0,95.0,0.8,0.6,0.03,0.02
鶏卵　たまご焼　厚焼きたまご,12.0,450.0,130.0,41.0,11.0,150.0,1.3,0.9,0.05,0.03
鶏卵　たまご焼　だし巻きたまご,12.0,470.0,130.0,42.0,11.0,160.0,1.3,1.0,0.05,0.03
＜牛乳及び乳製品＞　（液状乳類）　生乳　ジャージー種,13.0,58.0,140.0,140.0,13.0,110.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　生乳　ホルスタイン種,13.0,40.0,140.0,110.0,10.0,91.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　普通牛乳,13.0,41.0,150.0,110.0,10.0,93.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　脱脂乳,13.0,51.0,150.0,100.0,10.0,97.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　加工乳　濃厚,13.0,55.0,170.0,110.0,13.0,100.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,13.0,60.0,190.0,130.0,14.0,90.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　乳児用液体ミルク,13.0,0.0,81.0,45.0,5.0,29.0,1.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　乳飲料　コーヒー,13.0,30.0,85.0,80.0,10.0,55.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（液状乳類）　乳飲料　フルーツ,13.0,20.0,65.0,40.0,6.0,36.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（粉乳類）　全粉乳,13.0,430.0,1800.0,890.0,92.0,730.0,0.0,3.0,0.0,0.0
＜牛乳及び乳製品＞　（粉乳類）　脱脂粉乳,13.0,570.0,1800.0,1100.0,110.0,1000.0,1.0,4.0,0.1,0.0
＜牛乳及び乳製品＞　（粉乳類）　乳児用調製粉乳,13.0,140.0,500.0,370.0,40.0,220.0,7.0,3.0,0.0,0.0
＜牛乳及び乳製品＞　（練乳類）　無糖練乳,13.0,140.0,330.0,270.0,21.0,210.0,0.0,1.0,0.0,0.0
＜牛乳及び乳製品＞　（練乳類）　加糖練乳,13.0,96.0,400.0,260.0,25.0,220.0,0.0,1.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪,13.0,43.0,76.0,49.0,5.0,84.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪・植物性脂肪,13.0,140.0,76.0,47.0,4.0,130.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　クリーム　植物性脂肪,13.0,40.0,67.0,50.0,6.0,79.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　乳脂肪,13.0,24.0,72.0,54.0,4.0,45.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　乳脂肪・植物性脂肪,13.0,130.0,69.0,42.0,3.0,120.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　植物性脂肪,13.0,230.0,65.0,30.0,3.0,190.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　乳脂肪,13.0,150.0,55.0,30.0,3.0,150.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　乳脂肪・植物性脂肪,13.0,160.0,50.0,26.0,3.0,140.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　植物性脂肪,13.0,160.0,45.0,21.0,2.0,130.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　粉末状　乳脂肪,13.0,360.0,360.0,87.0,9.0,240.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　粉末状　植物性脂肪,13.0,720.0,220.0,120.0,1.0,600.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　全脂無糖,13.0,48.0,170.0,120.0,12.0,100.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　低脂肪無糖,13.0,48.0,180.0,130.0,13.0,100.0,0.0,1.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　無脂肪無糖,13.0,54.0,180.0,140.0,13.0,110.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　脱脂加糖,13.0,60.0,150.0,120.0,22.0,100.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　ドリンクタイプ　加糖,13.0,50.0,130.0,110.0,11.0,80.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　乳製品,13.0,18.0,48.0,43.0,5.0,30.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　殺菌乳製品,13.0,19.0,60.0,55.0,7.0,40.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　非乳製品,13.0,10.0,44.0,16.0,3.0,13.0,0.0,0.0,0.0,0.0
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　エダム,13.0,780.0,65.0,660.0,40.0,470.0,0.0,5.0,0.0,0.0
